"id","city","name","geo_hash","latitude","longitude"
"GCRPVM4k0PhSg6a3W4Tn5DcAMXMtJQK7","auckland","Mobil St Lukes","rckq0j","-36.8823195352","174.731068494"
"GDrz7VrUAkHm5xiuWWvP13XDp5jPc16T","wellington","BP Connect Melling","rbsms4y","-41.204466711507","174.91150919348"
"GNox5HVMUiKWzcd4QRtkMYdDRLpYFWH5","auckland","Caltex Constellation Drive","rckqbnq","-36.7467875693","174.735439351"
"GOBBheTv1rYUqbjCgptblMA010tUmKp0","wellington","Pak 'n Save Petone","rbsm7r6","-41.22357684901","174.87308165921"
"GPWxnR636PkPKzVTVVqhkCl4badEWH06","auckland","Z Massey North","rcknt2f","-36.8209473483","174.60877467"
"Ga0z18wQVrInJIbsKpj6enNhUBP83fV8","wellington","Z Trentham","rbsmyz","-41.1369546962","175.032486898"
"GbFZD4d8rRBjb13NA32PS4DZV2chu6zH","wellington","Mobil Bohanna Motors","rbsrrwj","-40.8795843049","175.063891061"
"Gfq2TqzFMO4HkWUsnZ84diSWmH5mmopb","auckland","Z Greville Rd","rckppcqr","-36.7301531","174.7242969"
"Ggg7EoLXaV1N4WLFvsg6kvsqJROzpWZv","auckland","Gull Onehunga","rckmcty","-36.925841","174.800772"
"GkVbdNRZSlbxSCGSCSY8qVN1GclW2Kvv","auckland","g.a.s. Brick Street","rcknm2y","-36.8654177","174.6152423"
"Gl4kchE5JR4bOLRkmBTrbtkOt4UBX3Bn","auckland","BP 2go Motor Centre","rckq8m","-36.793321","174.746741"
"GsWM2WUvngwoKIoJlJdovpkOlREtwDyB","hamilton","Waitomo Frankton","rck8uj","-37.804937","175.259006"
"GtE2SQfs2d5gj1bfnzACdm1MfDySTZkN",,,,"-43.542885","172.566914"
"GzOHrn1CgfrTEa1oGGWIvENCMPAWMHEC",,,,"-37.0883","174.94024"
"HG6NLheFx4OYbPZqqUn3fL6lCS2V7BnY","christchurch","Caltex Riccarton Self serve","rb68re","-43.5290142","172.6046792"
"HJuoNzaLjLk8uxdK571fe8G3kf0oUNj5","auckland","Z Avondale","rcknp5","-36.8956209054","174.688601681"
"HNDmELRrf70ssUZMTVYZNj3ZU7hnQzHy","auckland","Mobil Greenlane","rckq1t","-36.8858162495","174.802843779"
"Hk8XLret0DRnHbSRZIHfVkeNYoQEb2kh","hamilton","BP Connect Frankton","rck9h0s","-37.7890943629","175.259592488"
"I7ITt3JGDWIrIaZoshfOQluytjz5ROkJ","auckland","Z Northcote","rckq86b","-36.8099905","174.7377997"
"IA3bK7OotnaKjZVansapqxjA8g6ZLSxk","auckland","BP 2go New Lynn","rcknp1","-36.9052385","174.6867929"
"IKz3fRgWuIXKuqM5zypiZATb3v3gFFqC","hamilton","Caltex Chartwell","rck9hx","-37.751794819445","175.27852303411"
"IWR7l4cLwJKKVKgUaKNwDozSZNHNIWKe","christchurch","Challenge Port Hills","rb6b1m","-43.5636023309","172.677331242"
"IiekTKig6HnYKwyTjzaVlBbT3QyjdGHo","auckland","BP Connect Waterview","rcknpq","-36.8768895","174.7038231"
"ItKugUgPxPEacsBAB4allMx8JMQppqU7","auckland","BP 2go Opaheke","rckmhgj","-37.0726123602","174.942848203"
"Iv1kpk5HMsjcBIV2eAqfHEdofp4JCu2v","christchurch","Z Linwood","rb6b35","-43.5327501236","172.671703036"
"J6ZMsaKhZRQNpgZMANnp6BXTmbleHUsD","auckland","GAS Great South Rd","rckq40","-36.910852609091","174.81764629483"
"JCxSapx32KYPeT70rghAT6eqyodlgq4E","auckland","BP Connect Junction","rcknp0v","-36.9099239","174.6898297"
"JD31bHSLn1D06n8elbqVdNQZvBiYbMGM","auckland","BP 2go Ellerslie","rckq1f","-36.899393","174.812967"
"JFxsphAF0U8eyhSWuxyHLKw2b0gsOrUX","auckland","BP 2go Landscape","rckq0d","-36.8989881","174.756671"
"JJdu74kr33vRzKKDjDpFJSPtBVVTBpoI","hamilton","Z Morrinsville","rckcf0q","-37.6587979","175.5265379"
"JKRbNj0sWRzf21tGGLrjezjt6q1NfDR4","auckland","BP Connect Smales Farm","rckq8xm","-36.785848","174.756359"
"JRFjWX0sLkzcKxexrQ60U7yxVd7Yk8rS","christchurch","Waitomo New Brighton","rb6b6x","-43.506177","172.728042"
"JXPiaNnruwQcOGI4U3BdvmxMzCYikmQk","christchurch","NPD Ashley Street","rb69xt","-43.3009213","172.5958946"
"JZgUwEkKBAIFo1OG7Iof2Ebh7oNDjmP7","wellington","Pak 'n Save Hutt City","rbsms4z","-41.205244","174.913292"
"Jf3w5bx4QFO65sFAFcNQeJiBBwrpcFLC","auckland","Caltex Cavendish Drive","rckmed","-36.9871497586","174.881633289"
"JyiI6deAlVsgAWGfSHopq5kXrDMj0H1J","auckland","Z Ponsonby","rckq26","-36.8586185","174.747433"
"K3bJRz1A07zIKQl4qbLVkeEWMDqNzITm","auckland","Caltex Blockhouse Bay","rckjzq","-36.9225339536","174.701444655"
"K75GjGwuMUlaMy06LfZcfiknvjyUC07t","wellington","Mobil Johnsonville","rbsm3zf",,
"K8R6HXOE1wl44YgfIuwgUZQZ3hbhDjvU","auckland","Mobil Papakura","rckmhgt","-37.069722","174.943132"
"KA5PSV5Y8zQOtbvEBgDvzMrqWbVXZ2qZ","wellington","Z Mungavin Ave","rbsmfz","-41.1382580113","174.847754013"
"KFNBfu6eQBXFfpk7LTI7mDb7UkQGeuZ5","hamilton","Caltex Dinsdale","rck8gx","-37.7973733145","175.236179503"
"KMuomq0yW4YBpHowXoAK4TczhyF4Jvx2","christchurch","NPD Stanmore Road","rb6b2u","-43.522693","172.656802"
"KN5O5PWHrgShL4pSrZkUhn1H8ntxJn5Q","auckland","GAS Maraetai","rckqn","-36.88022171","175.03384217"
"KPLbvUwz5ZnjOlE7AG22wMVMRNGFY83u","auckland","Mobil Mt Eden","rckq0v","-36.8838176722","174.761321367"
"KQiuD8BzIRaNwUaH1KN1vv1EY6nV3PBx","wellington","Z Rimutaka","rbsw0k","-41.108825407521","175.09743556685"
"KaIfMUqGAZHQ7m3VmaPG12Q1A4p0pscR",,,,"-36.998321756557","174.87601074155"
"KhHQElWfyd3bukgLjyOLEGTTjzzDGtJL",,,,"-37.7566842","175.749621"
"Kx77RE0RKtNcTAHf6uBaW2SsEa3cvlxS","christchurch","NPD Mandeville","rb69n","-43.380703","172.53517"
"L4lO7HfLLBUgOvBFDLjmWX7rStnJhi7t","christchurch","McKeown Christchurch","rb68m8","-43.5492565","172.511368"
"LAVanAHAWxI8UImbxlSuyQwBvnfjnfJO","auckland","Mobil Papatoetoe","rckmen73","-36.9673364","174.8629971"
"LCdqc524wQno55z73w5TmYQKyApFlX4k","hamilton","Waitomo Morrinsville","rckccb","-37.6591219","175.5154307"
"LKt8ffEL67NAhdwtYlTp0RTg5glyfrlR","auckland","Z Glen Park","rcknxv","-36.7942641118","174.723923298"
"LKzSOoVmljMZrgKuWmK7ImP0ItPhL5up","wellington","Gull Silverstream","rbsmyt","-41.1449695","175.0166365"
"LW6rVhJGEsLERSKEjOVhNE42siNGTEwr","hamilton","Waitomo Te Rapa ","rck95yb","-37.7558584","175.2436824"
