id,city,name,geo_hash
oFnmZwwh2UFeNsZ6TChFCWJpsXCG5ORO,auckland,Mobil Mt Richmond,rckmft
lmVlLQROCjQo5aFdeIpZgWYIfDHZ4blh,auckland,Mobil Mt Wellington,rckq49
lT2vbRpPTFz6pedW7x4u37eUlcvyQy4L,auckland,Z Panmure,rckq4e
CxDYGY3G3SI46bk1gA2C4RPyCww7vrm2,auckland,Caltex Sylvia Park,rckq48
h7uyzY3QAdq10ErDtFqprG77L5BwiXjG,auckland,Gull Carbine Road,rckmfz
MXwTcWt0KipyfrMDfvVKBKR2bizetU1O,auckland,GAS Carbine Road,rckmfy
PpaQsvMIlINohUp5b4Lk7Ee1N6vZ43KG,auckland,Pak 'n Save Glen Innes,rckq4z
Wy32SYeyWM1K8PDFqSVUsOeyInLgu64b,auckland,Mobil Panmure,rckq4f
bjQd5iF2HoiJAdjChZbNkegeIi0DYdUl,auckland,GAS Panmure,rckq4u
4qUwywqT2vGuzo1AOk6qRWJp73VRdao2,auckland,Mobil Otahuhu,rckmfd
11oX4W3LIJximdZbs1RczYjvXhLzqlaa,auckland,Gull St Heliers,rckq68n
BACTv3dKPIeSUwXHVTF4XhDo2LMupveJ,auckland,Mobil Clearview,rckq68r
8sBXILfzFdAqKqKakPBxawUa5k8RdPEP,auckland,GAS Glen Innes,rckq4yw
2tn8JF64cMzG1gcrdMezsLwgYoVBczAa,auckland,Mobil Glen Innes,rckq4yj
hLl5U1uweUar3ZoD5iqFXNn2Q7H5bGtM,auckland,Z Glen Innes,rckq4yt
kDRLqlIzpTuKgQZWFFySztsdqjMZGTpF,auckland,GAS Pakuranga,rckq52
OMwj10GSQCBbucj0tpPcure3xn8HfdDF,auckland,Caltex Mangere,rckmf2
viABI11H63XfWFIuDbHst4xj0REbY5WB,auckland,Caltex Monument,rckmf9
4iMGeMJyaBNkn4StpJTt4XyktHJQZyFL,auckland,GAS 628 Great South Road,rckmfb
AtuXUpP1KpVZztkCbAXsOQGRf8ABqMyK,auckland,Z Highbrook,rckmg7
z71zYdtlEfBqgaxWMpjWgp3LB75f3nrJ,auckland,Gull Bader Drive,rckm9v
jK3tdnS5uliUfgI1vLsLwbfMsedXpYoB,auckland,BP 2go Station Road,rckmdt
ROIx0nSqGCTAEp6BH7tTz3Du1rinpWHR,auckland,Gull Papatoetoe,rckmdz
FXJbve2jR82azf6JwdJPlblgP3qNfGQO,auckland,Caltex Otara,rckmep
52viIXmtg4gwMQtRUiTndNk3ZxSK3zsO,auckland,GAS Mascot Avenue,rckm9t
heagmCt3oHRVgaRrR2qTojhhw3VyOdlN,auckland,Z Tom Pearce Dr,rckm98
iAOOqyywkJT36lkJNlsqcpv8z0qcxpmp,auckland,Mobil Mangere,rckm9s
slwTLJt3RzrfDE58OV0VvSryJHHgvWCD,auckland,Pak 'n Save Mangere,rckm9w
t6mKYb7XKTAULuB6E7o6kA7TS6BAQTMp,auckland,Waitomo Mangere,rckm9k
kvYWlqKxOoxmCotO1UodIsqC1hVmPaT3,auckland,Mobil Walmsley Road,rckmc8
M3wJQEhTfAbqruy18XvHrYXlcBKZfRgg,auckland,BP Connect Mangere,rckmc2
bCk0340ojiKZQkKH7qnxutbZDT7DGylx,auckland,Z Roscommon Rd,rckm6z
tP0tFnRE6GliYtqbTinXXhkHyzgl5FUc,auckland,Mobil Puhinui,rckmdc
bELtSJmdiJIvYWPHq2oKFegeQRfqs3yI,auckland,BP Connect Cavendish,rckme4
btoeAgB0fEvEnCEVMIizQSXZ8jOJRP3f,auckland,Mobil Cavendish Drive,rckme1
6LgIH1meDegIeVXqG0YN5Xipa0ie0SYl,auckland,BP Connect Massey Road,rckmdrs
vhoq8HkHC2nzfamEQZmiVKYns8EX6HNz,auckland,Gull Massey Road,rckmdrv
ivVK6GyQjaiXOnINvBKOkK6iEBnSR1sY,auckland,Z Otahuhu,rckmfeh
8Nw808rND1BxWSYBeFLZBf8KzL3qGpE3,auckland,GAS Atkinson Avenue,rckmfes
xCOOVAEpi2D3G7ALSxnKuXqjiRCJ1BXm,auckland,Caltex Papatoetoe,rckme7
UHfSug0kZzBpVb7UlzQJJJYKVLnxDVPu,auckland,Pak 'n Save Manukau,rckme6
c3lYRfylP5PDxUowOjtLTU1gqz3lMpEF,auckland,GAS Pembroke Street,rckmek
T14vbP7OIRcVqW4SC6CWmfmcaIWrAT55,auckland,Z Hunters Corner,rckmen77
LAVanAHAWxI8UImbxlSuyQwBvnfjnfJO,auckland,Mobil Papatoetoe,rckmen73
Toncu5HZzKHXrtCxas6k7kxmDgPg1iEm,auckland,NPD Otara,rckmerk
y3WHYyTOVqlLUX1Dxp0tI5slH8Q8CGcE,auckland,Mobil Otara,rckmerh
Jf3w5bx4QFO65sFAFcNQeJiBBwrpcFLC,auckland,Caltex Cavendish Drive,rckmed
Bi8OLFMemi1l6KQnIJQGuqaloKEbu0k7,auckland,Caltex Springs Road,rckmgc
NNLEWcazRCPtk7mPkkTFfygUFJ3PLwC6,auckland,Mobil Smales Road,rckmgf
MWzfQzEDc2npILTjhuSkikppIXDlDUDJ,auckland,Z Te Irirangi Dr,rckmeu
VmeWYyz3JtGPan4oTM8hNlqfDuQqynHN,auckland,Z Lakewood Court,rckme9
LqzsddseXuGPLSNisG7c3WjiDfNEQiou,auckland,Z Ormiston Rd,rckmexr
aWWYcJr7gemDdVj0XV74DrvwvJJ8fBgW,auckland,Gull East Tamaki,rckmex7
Nrr78HyJKiJUExjh0sqaUsFcBhtMxHDK,auckland,Z Botany Downs,rckmuh
NllCSJbgoQwDYzZONCXtNnJbGPCbTwXh,auckland,Gull Te Irirangi,rckmu1
w80YHrAdUUSjJr3BdzwWTLh7Owa0KrPQ,auckland,Mobil Ormiston Road,rckmezj
RpKhXTWkTXemgDuf4OdAU4mWem3ZBHsS,auckland,BP Connect FlatBush,rckmezp
c0MhNx4wqZg5FbkWMAOLSHgmCFbYAfDI,auckland,GAS Howick,rckqh9
kRAuw0oi3MvHUlK24cFcXOA5jzT1e0Hb,auckland,GAS Cascades Road,rckqh0
wa2JUj0WCdctxLtej1FsYcE471KAsnss,auckland,BP Connect Ormiston,rckmsq
PAhgk3umOrKyGtr4rjP8yN7gx2iWHvvc,auckland,BP Connect Howick,rckqh7
sN7Ztd20Pt57V4PTzhxJXhgHIRWG4xkM,auckland,Z Pakuranga,rckq5fq
Bey7TseXIdgEnXFVi3kCXVYAwVYtPRcz,auckland,BP Connect Pakuranga,rckq5f5
d1ZkYTqLtdezGznLNqxwp7jQXkKWwjoE,auckland,Caltex Highland Park,rckqh4f
iWpFeOUhs7CbFBoJX3rsIOXIdPbAlD8m,auckland,Mobil Highland Park,rckqh4s
gTyDOBXA6ousnrzLetFoUkf1ouTOjjfY,auckland,Caltex Somerville,rckqh8
yddFJbmkwlmLlnnd1GkleYVPSAZerkYr,auckland,Z Harris Rd,rckmgvh
Pk5XnXcmSv68x3FDWtBCFRcXuOYjsTxt,auckland,Z Ti Rakau Dr,rckmgvc
nRTxRpXa4SiQJ8TbSFTF41O34i8Qjpng,auckland,Pak 'n Save Botany,rckmum0
enqcAd0xyDWpDONfALb4OSaEGb43KgAL,auckland,BP Connect East Tamaki,rckmum6
ypgDmrrcRPIsrK3XYHBGFjoRtiHqssGN,auckland,BP 2go Whitford,rckmv6
FwHkhyYKxsJeWFfd8pnU6h5uBhX5JhjT,auckland,Gull Murphys Road,rckms6
cKriQ3JgBHAUHvtyBPGmLEQa4WSrejbs,auckland,BP Connect Pacific,rckme8
